Block 1 - Rebuild,,,,,,
,,,,,,
Week 1,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6
Focus,Clean pull mechanics,אימון אישי - Snatch + C&J ,Squat strength,Rest,Snatch technique,Clean Complex + C&J (Turnover)
Technique,Clean Deadlift to Knee + Clean Pull 4×(2+2),,פוקוס על מטקון,,Flat-Foot Power Snatch + OHS 4×(2+1),Tall Clean + High Hang Clean 3×(2+1)
Weights,75 / 80 / 85 / 85 kg,,,,35 / 40 / 45 / 45kg,50 / 55 / 60kg
Focus,דחוף ריצפה (ניתוק מהרגליים) תעצור בברכיים תסיים בקו ישר (לא להעיף כתפיים אחורה אחרי ההתיישרות) ,,,,"ב-OHS לא מחפשים עומק עד הסוף עדיין, בעיקר להתחיל לפתוח את המנח עד איפה שאנחנו לא פוגשים כאב - לא לדחוף!!",https://youtu.be/X9ckJS9LSug?si=f-KeUonwuW2YXqTn
Strength,Front Squat 4×4 @85–95 kg,,Back Squat 5×3 @100-110 kg,,Back Squat 4×5 @90-95 kg,Power Clean+Jerk          3×(2+2) @75-90kg
Pulls,,,"Tempo Back Squat 3×4 @80-85 kg,    3 sec on way down",,Flat-Foot Snatch Pull                   4×4 @75-85 kg,Front Squat 3×6 @80kg
Focus,,,Snatch pulls 3×3 @90kg,,"להצמיד מוט כל הדרך, אני רואה בסרטונים שאתה נשען אחורה עם הכתפיים אחרי ההתיישרות. כתפיים לתקרה לא לקיר מאחוריך.               Zero hip smash",Clean Pull from knee 3×3 @85-90kg
Mobility,T-spine + front rack,,Hip flexors,,lats + tríceps,
Metcon,,,,,,
